Date,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,fiscalDateStarting,rev_in_mil,rev_in_bil
2024-03-31,USD,4772000000,21629000000,16857000000,16597000000,2380000000,260000000,None,1398000000,None,-728000000,None,728000000,4000000,27000000,None,1254000000,1329000000,89000000,5000000,2416000000,1253000000,2057000000,3618000000,1240000000,2023-12-31,216290,216
2023-12-31,USD,3291000000,20532000000,17241000000,15780000000,2165000000,285000000,None,1429000000,None,-686000000,None,686000000,-9000000,49000000,None,1158000000,1374000000,47000000,684000000,2179000000,1336000000,2060000000,3218000000,1327000000,2023-09-30,205320,205
2023-09-30,USD,3338000000,20739000000,17401000000,16059000000,2233000000,234000000,None,1339000000,None,-632000000,497000000,632000000,32000000,13000000,None,1107000000,661000000,77000000,632000000,2272000000,589000000,1293000000,2400000000,584000000,2023-06-30,207390,207
2023-06-30,USD,2929000000,18320000000,15391000000,14092000000,1835000000,228000000,None,1322000000,None,-641000000,511000000,641000000,35000000,17000000,None,1061000000,1019000000,108000000,641000000,1839000000,912000000,1660000000,2721000000,911000000,2023-03-31,183200,183
2023-03-31,USD,3087000000,18995000000,15908000000,14610000000,2062000000,238000000,None,1263000000,None,-619000000,551000000,619000000,-20000000,7000000,None,1059000000,1184000000,71000000,619000000,2072000000,1110000000,1803000000,2862000000,1113000000,2022-12-31,189950,189
2022-12-31,USD,3162000000,20501000000,17339000000,16063000000,1806000000,216000000,None,1572000000,None,-592000000,531000000,592000000,-10000000,207000000,None,1060000000,1200000000,45000000,592000000,2039000000,1139000000,1792000000,2852000000,1155000000,2022-09-30,205010,205
2022-09-30,USD,2946000000,22939000000,19993000000,18516000000,1973000000,361000000,None,1334000000,None,-577000000,449000000,577000000,60000000,-120000000,None,1030000000,1088000000,82000000,577000000,1839000000,1018000000,1665000000,2695000000,1006000000,2022-06-30,229390,229
2022-06-30,USD,3173000000,25945000000,22772000000,21515000000,2113000000,211000000,None,1271000000,None,-578000000,387000000,578000000,129000000,-18000000,None,1046000000,1412000000,86000000,578000000,2071000000,1312000000,1990000000,3036000000,1326000000,2022-03-31,259450,259
2009-06-30,USD,525697000,1151690000,625993000,625993000,215031000,54756000,None,310666000,None,None,None,119559000,None,-377000,None,79229000,107638000,3263000,None,None,119627000,227197000,306426000,104375000,2022-05-27,115169,115
